rtid,tid,from,to
1001330000765779968,1001319821210877952,85618961,85462891
1001330070001139712,1001180489171038208,2515206368,1368737382
1001330109004091392,1001126739311902720,41147095,211411783
1001330132999704576,1001324981911830528,153824624,70355674
1001330159159394306,1001319821210877952,765372045077188608,85462891
1001330256970567680,1001319821210877952,3072926996,85462891
1001330277505908736,1001319821210877952,1435063093,85462891
1001330393155432449,1001319821210877952,886297166930558976,85462891
1001330404467523585,1001319821210877952,143778600,85462891
1001330539117166592,1001319821210877952,787205876750745600,85462891
1001330807661723649,1001274651664928768,123869540,50279201
1001330814200692737,1001180489171038208,2350168050,1368737382
1001330837923610626,1001319821210877952,2157045175,85462891
1001330856663834624,1001319821210877952,196215861,85462891
1001330926444363777,1001173129131999232,940042771972349953,2436753176
1001330927241383936,1001319821210877952,794242947621404672,85462891
1001330936355549184,1001173384967872516,940042771972349953,2436753176
1001330946992320512,1001173466471587840,940042771972349953,2436753176
1001330958119784448,1001173750941822976,940042771972349953,2436753176
1001330991691022337,1001174157365686272,940042771972349953,2436753176
1001331008828981248,1001274651664928768,2335191554,50279201
1001331011815272456,1001174719142346752,940042771972349953,2436753176
1001331013128142849,1001319821210877952,933885056531206144,85462891
1001331013908422656,1001274651664928768,801004116021481473,50279201
1001331031566254080,1001174934024994817,940042771972349953,2436753176
1001331084586467328,1001319821210877952,333837606,85462891
1001331108007493632,1001319821210877952,141599794,85462891
1001331202777796608,1001319821210877952,761179649367998464,85462891
1001331219861192704,1001319821210877952,198741736,85462891
1001331347045040134,1001292216961155072,3766002325,936695288
1001331368050085889,1001310207379681287,798603613991936000,141208596
1001331399859748865,1001319821210877952,2523147891,85462891
1001331413017247745,1001131204748378112,193236600,244957467
1001331456797433857,1001319821210877952,992635109919543297,85462891
1001331500963414016,1001319821210877952,798603613991936000,85462891
1001331537923604480,1001274651664928768,945002211905437696,50279201
1001331567950639105,1001330292123029504,113900748,572235824
1001331575844302848,1001319821210877952,741564645958385664,85462891
1001331585235365888,1001319821210877952,928159188,85462891
1001331700788424705,1001319821210877952,344136693,85462891
1001331706010390528,1001330292123029504,316489442,572235824
